StateFIPS,State,Year,Value,Data Comment,,Pollutant
20,Kansas,2017,0.95,,,Pollutant: Formaldehyde
20,Kansas,2017,0.66,,,Pollutant: Acetaldehyde
20,Kansas,2017,0.49,,,Pollutant: Carbon tetrachloride
20,Kansas,2018,0.17,,,Pollutant: Benzene
20,Kansas,2018,0.84,,,Pollutant: Formaldehyde
20,Kansas,2018,0.55,,,Pollutant: Acetaldehyde
20,Kansas,2018,0.36,,,Pollutant: Carbon tetrachloride
20,Kansas,2018,0,,,"Pollutant: 1,3-butadiene"
21,Kentucky,2005,0.66,,,Pollutant: Benzene
21,Kentucky,2005,1.9,,,Pollutant: Formaldehyde
21,Kentucky,2005,2.06,,,Pollutant: Acetaldehyde
21,Kentucky,2005,0.61,,,Pollutant: Carbon tetrachloride
21,Kentucky,2005,0.04,,,"Pollutant: 1,3-butadiene"
21,Kentucky,2011,0.56,,,Pollutant: Benzene
21,Kentucky,2011,1.69,,,Pollutant: Formaldehyde
21,Kentucky,2011,2.24,,,Pollutant: Acetaldehyde
21,Kentucky,2011,0.55,,,Pollutant: Carbon tetrachloride
21,Kentucky,2011,0.04,,,"Pollutant: 1,3-butadiene"
21,Kentucky,2014,0.33,,,Pollutant: Benzene
21,Kentucky,2014,1.44,,,Pollutant: Formaldehyde
21,Kentucky,2014,1.17,,,Pollutant: Acetaldehyde
21,Kentucky,2014,0.53,,,Pollutant: Carbon tetrachloride
21,Kentucky,2014,0.02,,,"Pollutant: 1,3-butadiene"
21,Kentucky,2017,0.21,,,Pollutant: Benzene
21,Kentucky,2017,1.27,,,Pollutant: Formaldehyde
21,Kentucky,2017,0.96,,,Pollutant: Acetaldehyde
21,Kentucky,2017,0.51,,,Pollutant: Carbon tetrachloride
21,Kentucky,2018,0.21,,,Pollutant: Benzene
21,Kentucky,2018,1.15,,,Pollutant: Formaldehyde
21,Kentucky,2018,0.88,,,Pollutant: Acetaldehyde
21,Kentucky,2018,0.37,,,Pollutant: Carbon tetrachloride
21,Kentucky,2018,0.01,,,"Pollutant: 1,3-butadiene"
22,Louisiana,2005,0.99,,,Pollutant: Benzene
22,Louisiana,2005,2.34,,,Pollutant: Formaldehyde
22,Louisiana,2005,2.17,,,Pollutant: Acetaldehyde
22,Louisiana,2005,0.61,,,Pollutant: Carbon tetrachloride
22,Louisiana,2005,0.05,,,"Pollutant: 1,3-butadiene"
22,Louisiana,2011,0.52,,,Pollutant: Benzene
22,Louisiana,2011,2.09,,,Pollutant: Formaldehyde
22,Louisiana,2011,2.58,,,Pollutant: Acetaldehyde
22,Louisiana,2011,0.55,,,Pollutant: Carbon tetrachloride
22,Louisiana,2011,0.04,,,"Pollutant: 1,3-butadiene"
