Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
All Around Us,798,"Gonzalez, Xelena",Banned Pending Investigation,nan,"Garcia, Adriana M.",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.43,1042.0
All Boys Aren't Blue,1071,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1072,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Clay County District Schools,December 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1073,"Johnson, George M.",Banned in Libraries,nan,nan,nan,Florida,Flagler Schools,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1074,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1075,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Florida,Orange County Public Schools,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1076,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Florida,Osceola County School District,April 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1077,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Forsyth County Schools,January 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1078,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Iowa,Waukee Community School District,October 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1079,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Kansas,Goddard Public Schools,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1080,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Maryland,Wicomico County Public Schools,February 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1081,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Michigan,Rochester Community Schools District,April 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1082,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Missouri,Nixa Public Schools,May 2022,Formal Challenge,4.21,37428.0
All Boys Aren't Blue,1083,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Missouri,North Kansas City Schools,October 2021,Formal Challenge,4.21,37428.0
All Boys Aren't Blue,1084,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Missouri,Wentzville School District,October 2021,Formal Challenge,4.21,37428.0
All Boys Aren't Blue,1085,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,New York,Yorktown Central School District,January 2022,Formal Challenge,4.21,37428.0
All Boys Aren't Blue,1086,"Johnson, George M.",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1087,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Pennsylvania,Downingtown Area School District,October 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1088,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Pennsylvania,East Stroudsburg Area School District,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1089,"Johnson, George M.",Banned in Libraries,nan,nan,nan,Pennsylvania,North Penn School District,September 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1090,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.21,37428.0
All Boys Aren't Blue,1091,"Johnson, George M.",Banned in Libraries,nan,nan,nan,Texas,Cypress-Fairbanks Independent School District,December 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1092,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Denton Independent School District,December 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1093,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Katy Independent School District,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1094,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1095,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Texas,Lamar Consolidated Independent School District,December 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1096,"Johnson, George M.",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1097,"Johnson, George M.",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Tyler Independent School District,November 2021,Administrator,4.21,37428.0
All Boys Aren't Blue,1098,"Johnson, George M.",Banned in Libraries,nan,nan,nan,Utah,Granite School District,October 2021,Formal Challenge,4.21,37428.0
All Boys Aren't Blue,1099,"Johnson, George M.",Banned Pending Investigation,nan,nan,nan,Washington,Kent School District,January 2022,Administrator,4.21,37428.0
All Eyes on Us,712,"Frick, Kit",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.53,3247.0
All We Can Do Is Wait,1319,"Lawson, Richard",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.52,2189.0
All We Can Do Is Wait,1320,"Lawson, Richard",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.52,2189.0
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color,1211,"Kissinger, Katie",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.45,239.0
All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version),1212,"Kissinger, Katie",Banned in Classrooms,nan,"Krutein, Wernher",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.45,239.0
All the Invisible Things,426,"Collins, Orlagh",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.58,877.0
All the Things We Do in the Dark,1594,"Mitchell, Saundra",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.55,852.0
All the Things We Do in the Dark,1595,"Mitchell, Saundra",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.55,852.0
All the World,2079,"Scanlon, Liz Garton",Banned in Classrooms,nan,"Frazee, Marla",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.22,13290.0
