Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
Wilma's Way Home: The Life of Wilma Mankiller,1912,"Rappaport, Doreen",Banned Pending Investigation,nan,"Kukuk, Linda",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.16,269.0
Wings,1665,"Myers, Christopher",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.48,1583678.0
Winter Candle,700,"Frame, Jeron Ashford",Banned Pending Investigation,nan,"Schuett, Stacey",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.94,189.0
Wishtree,108,"Applegate, Katherine",Banned in Libraries and Classrooms,nan,"Santoso, Charles",nan,Florida,Indian River County School District,November 2021,Administrator,4.29,36731.0
Witchlight,2525,"Zabarsky, Jessi",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.54,29.0
With Or Without You,649,"Farrey, Brian",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.66,7535.0
Wonders of the Invisible World,178,"Barzak, Christopher",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.79,2511.0
Worm Loves Worm,153,"Austrian, J.J.",Banned in Classrooms,nan,"Curato, Mike",nan,Florida,Lee County Schools,March 2022,Administrator,4.04,2424.0
Worm Loves Worm,154,"Austrian, J.J.",Banned Pending Investigation,nan,"Curato, Mike",nan,Florida,Walton County School District,April 2022,Administrator,4.04,2424.0
Y: The Last Man,2401,"Vaughan, Brian K.",Banned in Classrooms,nan,"Guerra, Pia; Marzan Jr., Jose",nan,Texas,Leander Independent School District,September 2021,Administrator,4.08,116096.0
Yasmin the Librarian (Yasmin Series),658,"Faruqi, Saadia",Banned in Classrooms,nan,"Aly, Hatem",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.5,2.0
Yasmin the Recycler (Yasmin Series),660,"Faruqi, Saadia",Banned in Classrooms,nan,"Aly, Hatem",nan,Pennsylvania,Central York School District,August 2021,Administrator,5.0,2.0
Yesterday Is History,1023,"Jackson, Kosoko",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.74,2710.0
Yoko (Yoko Series),2452,"Wells, Rosemary",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,3.28,172.0
You Brought Me the Ocean,2056,"Sanchez, Alex",Banned Pending Investigation,nan,"Maroh, Julie",nan,Tennessee,Collierville Schools,February 2022,Administrator,3.79,2866.0
You Know Me Well,1302,"LaCour, Nina",Banned Pending Investigation,"Levithan, David",nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.71,18165.0
You Know Me Well,1303,"LaCour, Nina",Banned Pending Investigation,"Levithan, David",nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.71,18165.0
You Matter,1970,"Robinson, Christian",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.4,10174.0
You Should See Me in a Crown,1106,"Johnson, Leah",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.09,41070.0
You and Me and Him,536,"Dinnison, Kris",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.32,1493.0
Young Gifted and Black: Meet 52 Black Heroes from Past and Present,2480,"Wilson, Jamia",Banned in Classrooms,nan,"Pippins, Andrea",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.4,390.0
Your Name Is a Song,2357,"Thompkins-Bigelow, Jamilah",Banned in Classrooms,nan,"Uribe, Luisa",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.56,2118.0
Your Rights as an LGBTQ+ Teen,1804,"Penne, Barbra",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.71,7.0
Zen Shorts (Zen Series),1664,"Muth, Jon J.",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.25,13219.0
Zenobia July,309,"Bunker, Lisa",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.11,1315.0
"Ziggy, Stardust and Me",266,"Brandon, James",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.16,4912.0
grl2grl,1834,"Peters, Julie Anne",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.96,3663.0
grl2grl,1835,"Peters, Julie Anne",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.96,3663.0
grl2grl,1836,"Peters, Julie Anne",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.96,3663.0
"l8r, g8r",1671,"Myracle, Lauren",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.75,8044.0
"l8r, g8r",1672,"Myracle, Lauren",Banned in Libraries and Classrooms,nan,nan,nan,Georgia,Forsyth County Schools,January 2022,Administrator,3.75,8044.0
"l8r, g8r",1673,"Myracle, Lauren",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,3.75,8044.0
"l8r, g8r",1674,"Myracle, Lauren",Banned in Libraries,nan,nan,nan,Indiana,Carmel Clay Schools,July 2021,Administrator,3.75,8044.0
"l8r, g8r",1675,"Myracle, Lauren",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.75,8044.0
"l8r, g8r",1676,"Myracle, Lauren",Banned in Libraries and Classrooms,nan,nan,nan,Missouri,Francis Howell School District,October 2021,Formal Challenge,3.75,8044.0
"l8r, g8r",1677,"Myracle, Lauren",Banned Pending Investigation,nan,nan,nan,Texas,Birdville Independent School District,November 2021,Formal Challenge,3.75,8044.0
"l8r, g8r",1678,"Myracle, Lauren",Banned in Libraries,nan,nan,nan,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,3.75,8044.0
"l8r, g8r",1679,"Myracle, Lauren",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.75,8044.0
"l8r, g8r",1680,"Myracle, Lauren",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Keller Independent School District,November 2021,Formal Challenge,3.75,8044.0
"l8r, g8r",1681,"Myracle, Lauren",Banned Pending Investigation,nan,nan,nan,Utah,Canyons School District,October 2021,Administrator,3.75,8044.0
"l8r, g8r",1682,"Myracle, Lauren",Banned in Libraries,nan,nan,nan,Wisconsin,School District of Waukesha,December 2021,Administrator,3.75,8044.0
nan,2532,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2533,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2534,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2535,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2536,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2537,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2538,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2539,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2540,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2541,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2542,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2543,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2544,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2545,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2546,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2547,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2548,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2549,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2550,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2551,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2552,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2553,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2554,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2555,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2556,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2557,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2558,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2559,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2560,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2561,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2562,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2563,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2564,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2565,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2566,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2567,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2568,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2569,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2570,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2571,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2572,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2573,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2574,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2575,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2576,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2577,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2578,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2579,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2580,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2581,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2582,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2583,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2584,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2585,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2586,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2587,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2588,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2589,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2590,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2591,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2592,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2593,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2594,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2595,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2596,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2597,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2598,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2599,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2600,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2601,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2602,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2603,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2604,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2605,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2606,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2607,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2608,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2609,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2610,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2611,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2612,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2613,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2614,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2615,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2616,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2617,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2618,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2619,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2620,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2621,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2622,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2623,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2624,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2625,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2626,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2627,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2628,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2629,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2630,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2631,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2632,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2633,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2634,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2635,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2636,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2637,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2638,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2639,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2640,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2641,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2642,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2643,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2644,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2645,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2646,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2647,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2648,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2649,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2650,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2651,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2652,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2653,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2654,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2655,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2656,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2657,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2658,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2659,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2660,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2661,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2662,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2663,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2664,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2665,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2666,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2667,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2668,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2669,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2670,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2671,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2672,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2673,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2674,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2675,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2676,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2677,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2678,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2679,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2680,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2681,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2682,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2683,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2684,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2685,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2686,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2687,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2688,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2689,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2690,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2691,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2692,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2693,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2694,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2695,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2696,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2697,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2698,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2699,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2700,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2701,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2702,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2703,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2704,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2705,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2706,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2707,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2708,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2709,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2710,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2711,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2712,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2713,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2714,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2715,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2716,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2717,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2718,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2719,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2720,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2721,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2722,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2723,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2724,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2725,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2726,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2727,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2728,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2729,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2730,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2731,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2732,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2733,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2734,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2735,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2736,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2737,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2738,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2739,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2740,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2741,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2742,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2743,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2744,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2745,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2746,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2747,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2748,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2749,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2750,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2751,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2752,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2753,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2754,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2755,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2756,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2757,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2758,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2759,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2760,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2761,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2762,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2763,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2764,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2765,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2766,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2767,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2768,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2769,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2770,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2771,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2772,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2773,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2774,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2775,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2776,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2777,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2778,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2779,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2780,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2781,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2782,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2783,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
nan,2784,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.46,382421.0
