StateFIPS,State,Year,Value,Data Comment,,Gender
19,Iowa,2019,38.7,,,Male
19,Iowa,2019,8.6,,,Female
19,Iowa,2020,35.2,,,Male
19,Iowa,2020,7.9,,,Female
21,Kentucky,2001,38.4,,,Male
21,Kentucky,2001,8.8,,,Female
21,Kentucky,2002,39.6,,,Male
21,Kentucky,2002,9.2,,,Female
21,Kentucky,2003,37.8,,,Male
21,Kentucky,2003,10.2,,,Female
21,Kentucky,2004,40.2,,,Male
21,Kentucky,2004,10.7,,,Female
21,Kentucky,2005,41.1,,,Male
21,Kentucky,2005,10.1,,,Female
21,Kentucky,2006,43.5,,,Male
21,Kentucky,2006,9.5,,,Female
21,Kentucky,2007,39.3,,,Male
21,Kentucky,2007,10,,,Female
21,Kentucky,2008,41.5,,,Male
21,Kentucky,2008,10.4,,,Female
21,Kentucky,2009,38.4,,,Male
21,Kentucky,2009,10,,,Female
21,Kentucky,2010,42,,,Male
21,Kentucky,2010,8.9,,,Female
21,Kentucky,2011,42.7,,,Male
21,Kentucky,2011,10.1,,,Female
21,Kentucky,2012,41,,,Male
21,Kentucky,2012,10.3,,,Female
21,Kentucky,2013,37.7,,,Male
21,Kentucky,2013,9.7,,,Female
21,Kentucky,2014,40.7,,,Male
21,Kentucky,2014,11.4,,,Female
21,Kentucky,2015,39.1,,,Male
21,Kentucky,2015,9.4,,,Female
21,Kentucky,2016,37.2,,,Male
21,Kentucky,2016,9.5,,,Female
21,Kentucky,2017,40.9,,,Male
21,Kentucky,2017,9.5,,,Female
21,Kentucky,2018,37.9,,,Male
21,Kentucky,2018,10.7,,,Female
21,Kentucky,2019,35.1,,,Male
21,Kentucky,2019,9.3,,,Female
21,Kentucky,2020,33.9,,,Male
21,Kentucky,2020,7.8,,,Female
22,Louisiana,2001,35,,,Male
22,Louisiana,2001,8,,,Female
22,Louisiana,2002,34.8,,,Male
22,Louisiana,2002,8.3,,,Female
22,Louisiana,2003,35.5,,,Male
22,Louisiana,2003,8.7,,,Female
22,Louisiana,2004,38.4,,,Male
22,Louisiana,2004,9.2,,,Female
22,Louisiana,2005,36.3,,,Male
22,Louisiana,2005,9.3,,,Female
22,Louisiana,2006,33.7,,,Male
22,Louisiana,2006,7.5,,,Female
22,Louisiana,2007,36.4,,,Male
22,Louisiana,2007,8.4,,,Female
22,Louisiana,2008,33.2,,,Male
22,Louisiana,2008,8.1,,,Female
22,Louisiana,2009,35.8,,,Male
22,Louisiana,2009,8.7,,,Female
22,Louisiana,2010,33.3,,,Male
22,Louisiana,2010,8.4,,,Female
22,Louisiana,2011,34.6,,,Male
22,Louisiana,2011,7.6,,,Female
22,Louisiana,2012,33,,,Male
22,Louisiana,2012,8,,,Female
22,Louisiana,2013,35.7,,,Male
22,Louisiana,2013,7.6,,,Female
22,Louisiana,2014,31.6,,,Male
22,Louisiana,2014,7,,,Female
22,Louisiana,2015,30.4,,,Male
22,Louisiana,2015,7.9,,,Female
22,Louisiana,2016,33,,,Male
22,Louisiana,2016,7.6,,,Female
22,Louisiana,2017,32.6,,,Male
22,Louisiana,2017,7.2,,,Female
22,Louisiana,2018,32.9,,,Male
22,Louisiana,2018,7.4,,,Female
22,Louisiana,2019,30.8,,,Male
22,Louisiana,2019,7.3,,,Female
22,Louisiana,2020,30,,,Male
22,Louisiana,2020,7.4,,,Female
23,Maine,2001,50.1,,,Male
23,Maine,2001,12.2,,,Female
23,Maine,2002,48.2,,,Male
23,Maine,2002,12.8,,,Female
23,Maine,2003,56.5,,,Male
23,Maine,2003,12.9,,,Female
23,Maine,2004,48.1,,,Male
23,Maine,2004,13.9,,,Female
23,Maine,2005,45.7,,,Male
23,Maine,2005,14.4,,,Female
23,Maine,2006,52.5,,,Male
23,Maine,2006,14.5,,,Female
23,Maine,2007,50.3,,,Male
23,Maine,2007,14.1,,,Female
23,Maine,2008,46.3,,,Male
